train_loss,train_acc,val_loss,val_acc,test_acc,test_loss,epoch
1.9495,0.1786,1.9433,0.1200,0.1210,1.9428,001
1.9358,0.1643,1.9389,0.1160,0.1110,1.9380,002
1.9336,0.3000,1.9324,0.1580,0.1710,1.9311,003
1.9170,0.4786,1.9258,0.2460,0.2790,1.9240,004
1.9057,0.5786,1.9187,0.3900,0.3920,1.9168,005
1.8946,0.5929,1.9132,0.3880,0.3840,1.9109,006
1.8980,0.6000,1.9083,0.3760,0.3730,1.9056,007
1.8819,0.6357,1.9028,0.4020,0.3940,1.8998,008
1.8698,0.7143,1.8967,0.4940,0.4540,1.8936,009
1.8522,0.8643,1.8893,0.5980,0.5960,1.8861,010
1.8584,0.9071,1.8807,0.7220,0.7250,1.8775,011
1.8284,0.9286,1.8722,0.7700,0.7900,1.8689,012
1.8519,0.9143,1.8652,0.7680,0.7970,1.8618,013
1.8051,0.8857,1.8588,0.7580,0.7650,1.8553,014
1.7962,0.9000,1.8519,0.7280,0.7340,1.8482,015
1.7746,0.9214,1.8441,0.7300,0.7370,1.8403,016
1.7590,0.9214,1.8342,0.7460,0.7400,1.8303,017
1.7421,0.9143,1.8231,0.7580,0.7530,1.8191,018
1.7401,0.9214,1.8114,0.7740,0.7570,1.8072,019
1.7668,0.9357,1.8000,0.7840,0.7780,1.7954,020
1.7248,0.9429,1.7904,0.7740,0.7760,1.7851,021
1.7196,0.9286,1.7820,0.7740,0.7710,1.7757,022
1.7019,0.9214,1.7731,0.7680,0.7790,1.7660,023
1.6889,0.9143,1.7640,0.7660,0.7830,1.7560,024
1.6379,0.9500,1.7560,0.7640,0.7830,1.7472,025
1.6557,0.9571,1.7481,0.7720,0.7800,1.7383,026
1.5740,0.9429,1.7389,0.7760,0.7810,1.7279,027
1.6459,0.9429,1.7299,0.7620,0.7810,1.7180,028
1.5972,0.9500,1.7218,0.7640,0.7800,1.7096,029
1.5733,0.9357,1.7125,0.7640,0.7700,1.7006,030
1.5756,0.9429,1.7015,0.7660,0.7640,1.6898,031
1.5545,0.9500,1.6878,0.7600,0.7590,1.6764,032
1.4631,0.9500,1.6720,0.7580,0.7590,1.6612,033
1.4797,0.9429,1.6537,0.7540,0.7460,1.6436,034
1.4746,0.9500,1.6349,0.7600,0.7470,1.6251,035
1.4913,0.9500,1.6186,0.7660,0.7580,1.6082,036
1.4633,0.9500,1.6043,0.7780,0.7740,1.5929,037
1.4486,0.9500,1.5911,0.7900,0.7980,1.5786,038
1.4081,0.9571,1.5780,0.7920,0.8060,1.5646,039
1.3865,0.9500,1.5637,0.7960,0.8160,1.5497,040
1.3923,0.9500,1.5493,0.7940,0.8170,1.5348,041
