Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
001,0.5101,0.6922,0.4853,0.4992,0.6829,0.6763
002,0.5403,0.6859,0.5220,0.5298,0.6900,0.6617
003,0.5101,0.6832,0.4853,0.4992,0.6674,0.6349
004,0.5101,0.6688,0.4853,0.4992,0.5918,0.5941
005,0.7967,0.5940,0.8315,0.7974,0.5645,0.4590
006,0.7958,0.5341,0.8315,0.8029,0.7090,0.4665
007,0.7665,0.5953,0.8205,0.7567,0.4941,0.4689
008,0.7949,0.4988,0.8315,0.7946,0.4707,0.4095
009,0.8022,0.4672,0.8333,0.8032,0.7148,0.4298
010,0.7921,0.5498,0.8571,0.7987,0.5519,0.4325
011,0.7912,0.5357,0.8297,0.7909,0.4943,0.4297
012,0.8004,0.4891,0.8315,0.8029,0.4568,0.4190
013,0.8040,0.4627,0.8388,0.8068,0.4302,0.3906
014,0.8077,0.4473,0.8626,0.8136,0.4141,0.3680
015,0.8251,0.4308,0.8663,0.8244,0.7839,0.3805
016,0.7830,0.5919,0.8535,0.7896,0.5957,0.4385
017,0.8049,0.5486,0.8407,0.8089,0.4451,0.4267
018,0.8077,0.4492,0.8480,0.8055,0.4253,0.3765
019,0.8205,0.4340,0.8645,0.8183,0.4595,0.3669
020,0.8223,0.4464,0.8645,0.8217,0.9243,0.3937
021,0.7399,0.6180,0.7619,0.7493,0.5564,0.5294
022,0.8013,0.5262,0.8590,0.8082,0.4820,0.4224
023,0.8114,0.4526,0.8407,0.8126,0.4164,0.3792
024,0.8114,0.4369,0.8462,0.8134,0.4146,0.3626
025,0.8333,0.4128,0.8718,0.8322,0.3814,0.3475
026,0.8874,0.3871,0.9121,0.8866,0.3264,0.3128
027,0.9075,0.3341,0.9139,0.9067,0.2875,0.2769
028,0.9093,0.2997,0.9103,0.9096,0.4073,0.2966
029,0.8736,0.3522,0.8663,0.8777,0.5021,0.3513
030,0.8993,0.3890,0.9103,0.9012,0.8337,0.3200
031,0.8919,0.5225,0.9048,0.8884,0.8146,0.3568
032,0.8984,0.3344,0.9103,0.9002,0.3108,0.2940
033,0.8984,0.3085,0.9084,0.8991,0.2952,0.2858
034,0.9002,0.3001,0.9121,0.9028,0.2925,0.2824
035,0.9020,0.2913,0.9103,0.9033,0.2861,0.2758
036,0.9112,0.2830,0.9103,0.9124,0.2757,0.2747
037,0.9148,0.2705,0.9121,0.9161,0.5413,0.2901
038,0.9103,0.4150,0.9121,0.9137,1.3881,0.4206
039,0.8810,0.7570,0.8993,0.8855,0.4931,0.3953
040,0.8727,0.4685,0.8883,0.8751,0.4044,0.3253
041,0.8837,0.3663,0.8846,0.8798,0.3328,0.3127
042,0.8901,0.3270,0.8901,0.8866,0.3271,0.3027
043,0.8947,0.3257,0.9066,0.8957,0.5472,0.3123
044,0.8242,0.4015,0.8168,0.8220,0.5334,0.4191
045,0.8516,0.3741,0.8773,0.8515,0.5119,0.3720
046,0.8370,0.4073,0.8333,0.8356,0.3335,0.3442
047,0.8974,0.3270,0.9084,0.8999,0.3008,0.2990
048,0.8984,0.2997,0.9121,0.9015,0.3070,0.2860
049,0.9011,0.3012,0.9103,0.9028,0.3668,0.2856
050,0.9075,0.3193,0.9103,0.9104,0.3172,0.2712
051,0.9176,0.2752,0.9139,0.9187,0.2214,0.2459
052,0.9386,0.2231,0.9377,0.9399,0.1999,0.2034
053,0.9496,0.2072,0.9505,0.9530,0.2099,0.1978
054,0.9451,0.2129,0.9524,0.9485,0.3044,0.1907
055,0.9267,0.2685,0.9432,0.9284,0.2172,0.1946
056,0.9432,0.2192,0.9505,0.9477,0.2126,0.1883
057,0.9515,0.1971,0.9505,0.9548,0.2006,0.1944
058,0.9432,0.2002,0.9505,0.9462,0.2238,0.1913
059,0.9515,0.2065,0.9524,0.9535,0.2125,0.1899
060,0.9515,0.2125,0.9505,0.9543,0.2254,0.1876
061,0.9515,0.2119,0.9524,0.9543,0.1968,0.1940
062,0.9505,0.2028,0.9505,0.9519,0.2044,0.1794
063,0.9515,0.1945,0.9524,0.9543,0.2103,0.1952
064,0.9469,0.2153,0.9487,0.9488,0.2316,0.1799
065,0.9441,0.2153,0.9505,0.9446,0.2255,0.1794
066,0.9414,0.2256,0.9487,0.9433,0.2303,0.1790
067,0.9341,0.2100,0.9487,0.9383,0.2414,0.1994
068,0.9524,0.2087,0.9524,0.9545,0.1840,0.1978
069,0.9487,0.1891,0.9505,0.9496,0.1914,0.1777
070,0.9496,0.1959,0.9505,0.9511,0.1835,0.1791
071,0.9515,0.1911,0.9524,0.9519,0.2229,0.1833
072,0.9496,0.2237,0.9505,0.9488,0.3361,0.1792
073,0.9240,0.2675,0.9432,0.9297,0.2077,0.1969
074,0.9496,0.2069,0.9524,0.9511,0.1886,0.1751
075,0.9515,0.1905,0.9505,0.9527,0.1806,0.1780
076,0.9487,0.1877,0.9505,0.9480,0.1892,0.1787
077,0.9515,0.1897,0.9524,0.9524,0.1874,0.1803
078,0.9496,0.1932,0.9524,0.9506,0.2185,0.1805
079,0.9515,0.2033,0.9524,0.9540,0.2173,0.1841
080,0.9515,0.1983,0.9524,0.9522,0.1801,0.1784
081,0.9505,0.1868,0.9524,0.9519,0.2076,0.1788
082,0.9496,0.1996,0.9505,0.9514,0.2476,0.1863
083,0.9515,0.1931,0.9524,0.9522,0.2077,0.1822
084,0.9505,0.2027,0.9505,0.9488,0.2110,0.1764
085,0.9469,0.2024,0.9505,0.9477,0.2689,0.1753
086,0.9377,0.2409,0.9469,0.9409,0.2058,0.1788
087,0.9341,0.1989,0.9487,0.9394,0.3163,0.1981
088,0.9533,0.2528,0.9542,0.9553,0.1973,0.2051
089,0.9515,0.1997,0.9524,0.9543,0.1971,0.1890
090,0.9451,0.2015,0.9469,0.9464,0.1898,0.1813
091,0.9515,0.1890,0.9524,0.9530,0.1837,0.1796
092,0.9496,0.1914,0.9524,0.9503,0.1825,0.1777
093,0.9487,0.1880,0.9505,0.9501,0.1982,0.1797
094,0.9496,0.1957,0.9524,0.9519,0.2078,0.1785
095,0.9515,0.1923,0.9524,0.9532,0.1820,0.1800
096,0.9487,0.1888,0.9505,0.9501,0.1846,0.1770
097,0.9505,0.1868,0.9524,0.9519,0.1904,0.1774
098,0.9515,0.1894,0.9524,0.9519,0.2309,0.1790
099,0.9515,0.2136,0.9524,0.9519,0.4179,0.1925
100,0.9533,0.2749,0.9524,0.9553,0.2420,0.1957
101,0.9515,0.2168,0.9524,0.9543,0.1879,0.1892
102,0.9478,0.1957,0.9524,0.9490,0.1902,0.1768
103,0.9515,0.1910,0.9524,0.9530,0.1869,0.1783
104,0.9515,0.1877,0.9524,0.9532,0.1922,0.1819
105,0.9487,0.1962,0.9524,0.9498,0.2359,0.1767
106,0.9469,0.2150,0.9505,0.9469,0.1981,0.1747
107,0.9423,0.2103,0.9469,0.9454,0.1918,0.1762
