Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
001,0.5806,0.6866,0.4194,0.4887,0.7029,0.7119
002,0.5806,0.6782,0.4194,0.4887,0.7072,0.7241
003,0.5806,0.6761,0.4194,0.4887,0.7073,0.7274
004,0.5806,0.6748,0.4194,0.4887,0.7057,0.7256
005,0.5806,0.6740,0.4194,0.4887,0.7038,0.7229
006,0.5806,0.6734,0.4194,0.4887,0.7025,0.7205
007,0.5806,0.6729,0.4194,0.4887,0.7019,0.7192
008,0.5806,0.6723,0.4194,0.4887,0.7017,0.7189
009,0.5806,0.6717,0.4194,0.4887,0.7016,0.7192
010,0.5806,0.6710,0.4194,0.4887,0.7014,0.7193
011,0.5806,0.6702,0.4194,0.4887,0.7009,0.7190
012,0.5806,0.6694,0.4194,0.4887,0.7002,0.7184
013,0.5806,0.6684,0.4194,0.4887,0.6994,0.7175
014,0.5806,0.6673,0.4194,0.4887,0.6985,0.7166
015,0.5806,0.6659,0.4194,0.4887,0.6974,0.7155
016,0.5806,0.6642,0.4194,0.4887,0.6961,0.7143
017,0.5806,0.6622,0.4194,0.4887,0.6947,0.7129
018,0.5806,0.6597,0.4194,0.4887,0.6930,0.7112
019,0.5806,0.6567,0.4194,0.4887,0.6908,0.7091
020,0.5806,0.6530,0.4194,0.4887,0.6881,0.7064
021,0.5806,0.6485,0.4194,0.4887,0.6850,0.7033
022,0.5806,0.6431,0.4194,0.4887,0.6809,0.6994
023,0.5806,0.6365,0.4194,0.4887,0.6765,0.6946
024,0.5968,0.6287,0.4194,0.4887,0.6711,0.6898
025,0.5968,0.6194,0.4194,0.4932,0.6659,0.6838
026,0.6290,0.6086,0.4516,0.5249,0.6597,0.6787
027,0.6613,0.5965,0.5161,0.5475,0.6565,0.6733
028,0.6935,0.5837,0.6129,0.6154,0.6429,0.6644
029,0.7097,0.5778,0.5806,0.6561,0.6606,0.6558
030,0.5968,0.5794,0.4194,0.5068,0.6501,0.6998
031,0.8065,0.5481,0.5806,0.7195,0.6232,0.6400
032,0.8710,0.5515,0.6774,0.7240,0.6250,0.6274
033,0.6935,0.5305,0.6129,0.6290,0.6274,0.6547
034,0.8226,0.5135,0.5484,0.7195,0.6046,0.6255
035,0.8710,0.5046,0.7097,0.7376,0.6020,0.6070
036,0.8226,0.4862,0.5806,0.7285,0.6007,0.6183
037,0.8548,0.4715,0.6774,0.7285,0.5853,0.6005
038,0.8871,0.4598,0.7097,0.7376,0.5860,0.5874
039,0.8548,0.4460,0.6774,0.7330,0.5745,0.5937
040,0.9032,0.4328,0.7097,0.7421,0.5735,0.5735
041,0.8871,0.4192,0.7097,0.7421,0.5639,0.5801
042,0.9032,0.4078,0.7097,0.7330,0.5670,0.5642
043,0.9032,0.3986,0.7097,0.7466,0.5529,0.5680
044,0.9194,0.4025,0.7097,0.7557,0.5836,0.5528
045,0.8548,0.4289,0.6774,0.7285,0.5495,0.5979
046,0.8710,0.4155,0.7097,0.7195,0.5452,0.5406
047,0.9032,0.3703,0.7097,0.7421,0.5668,0.5729
048,0.9032,0.3744,0.6774,0.7466,0.5423,0.5642
049,0.9194,0.3712,0.7097,0.7376,0.5401,0.5353
050,0.9194,0.3545,0.7097,0.7466,0.5514,0.5555
051,0.9194,0.3532,0.7097,0.7466,0.5379,0.5536
052,0.9355,0.3494,0.6774,0.7511,0.5387,0.5343
053,0.9355,0.3394,0.7097,0.7557,0.5405,0.5500
054,0.9355,0.3330,0.7097,0.7647,0.5343,0.5391
055,0.9355,0.3288,0.7097,0.7692,0.5380,0.5360
056,0.9355,0.3239,0.7097,0.7647,0.5325,0.5423
057,0.9516,0.3196,0.7097,0.7692,0.5355,0.5314
058,0.9516,0.3146,0.7419,0.7602,0.5295,0.5400
059,0.9516,0.3114,0.7097,0.7647,0.5366,0.5290
060,0.9516,0.3102,0.7097,0.7602,0.5259,0.5393
061,0.9516,0.3155,0.6774,0.7692,0.5462,0.5234
062,0.9355,0.3287,0.7097,0.7466,0.5257,0.5544
063,0.9516,0.3382,0.7419,0.7285,0.5308,0.5146
064,0.9355,0.3114,0.7419,0.7557,0.5331,0.5636
065,0.9516,0.2927,0.7097,0.7738,0.5217,0.5222
066,0.9516,0.2952,0.7097,0.7783,0.5340,0.5254
067,0.9516,0.2985,0.7097,0.7511,0.5239,0.5467
068,0.9516,0.2921,0.7097,0.7738,0.5233,0.5191
069,0.9677,0.2845,0.7097,0.7647,0.5260,0.5359
070,0.9677,0.2811,0.7419,0.7738,0.5211,0.5266
071,0.9677,0.2795,0.7097,0.7647,0.5255,0.5249
072,0.9677,0.2771,0.7097,0.7602,0.5215,0.5321
073,0.9677,0.2748,0.6774,0.7783,0.5242,0.5223
074,0.9677,0.2716,0.7097,0.7602,0.5210,0.5313
075,0.9677,0.2692,0.7097,0.7783,0.5235,0.5221
076,0.9677,0.2667,0.7097,0.7647,0.5192,0.5297
077,0.9677,0.2653,0.7419,0.7738,0.5249,0.5213
078,0.9677,0.2650,0.7097,0.7692,0.5169,0.5304
079,0.9839,0.2693,0.7097,0.7692,0.5342,0.5185
080,0.9677,0.2806,0.7097,0.7647,0.5172,0.5414
081,0.9516,0.3010,0.7419,0.7330,0.5367,0.5099
082,0.9355,0.3037,0.7419,0.7557,0.5194,0.5713
083,0.9516,0.2785,0.7419,0.7376,0.5148,0.5092
084,0.9677,0.2569,0.7097,0.7647,0.5283,0.5371
085,0.9677,0.2595,0.7097,0.7692,0.5149,0.5303
086,0.9677,0.2628,0.7097,0.7738,0.5186,0.5141
087,0.9677,0.2572,0.7097,0.7647,0.5194,0.5369
088,0.9839,0.2526,0.6774,0.7783,0.5145,0.5194
089,0.9839,0.2518,0.7097,0.7738,0.5202,0.5220
090,0.9677,0.2512,0.7097,0.7692,0.5164,0.5301
091,0.9839,0.2494,0.6774,0.7692,0.5175,0.5188
092,0.9677,0.2467,0.7097,0.7738,0.5175,0.5281
093,0.9839,0.2447,0.7097,0.7783,0.5163,0.5214
094,0.9839,0.2429,0.7097,0.7783,0.5175,0.5238
095,0.9839,0.2415,0.7097,0.7783,0.5154,0.5236
096,0.9839,0.2403,0.7097,0.7828,0.5172,0.5211
097,0.9839,0.2388,0.7097,0.7738,0.5148,0.5249
098,0.9839,0.2380,0.7097,0.7828,0.5178,0.5203
099,0.9839,0.2370,0.7097,0.7738,0.5139,0.5267
100,0.9839,0.2370,0.7097,0.7828,0.5204,0.5199
101,0.9839,0.2382,0.7097,0.7738,0.5125,0.5299
102,0.9839,0.2430,0.7419,0.7647,0.5280,0.5168
103,0.9677,0.2521,0.7419,0.7647,0.5128,0.5407
104,0.9839,0.2670,0.7419,0.7647,0.5322,0.5101
105,0.9516,0.2735,0.7419,0.7557,0.5141,0.5632
106,0.9516,0.2619,0.7419,0.7511,0.5140,0.5081
107,0.9677,0.2385,0.7419,0.7602,0.5220,0.5459
108,0.9839,0.2329,0.7097,0.7828,0.5108,0.5218
109,0.9839,0.2376,0.7419,0.7647,0.5188,0.5173
110,0.9677,0.2380,0.7419,0.7647,0.5143,0.5382
111,0.9839,0.2340,0.7419,0.7692,0.5127,0.5159
112,0.9839,0.2307,0.7097,0.7738,0.5172,0.5277
113,0.9839,0.2303,0.7097,0.7738,0.5125,0.5254
114,0.9839,0.2305,0.7097,0.7783,0.5156,0.5193
115,0.9839,0.2291,0.7097,0.7738,0.5140,0.5293
116,0.9839,0.2277,0.7097,0.7783,0.5138,0.5198
117,0.9839,0.2261,0.7097,0.7738,0.5150,0.5262
118,0.9839,0.2251,0.7419,0.7828,0.5133,0.5237
119,0.9839,0.2243,0.7419,0.7828,0.5146,0.5229
120,0.9839,0.2234,0.7419,0.7783,0.5130,0.5251
121,0.9839,0.2229,0.7419,0.7828,0.5146,0.5218
122,0.9839,0.2220,0.7419,0.7783,0.5127,0.5261
123,0.9839,0.2216,0.7419,0.7828,0.5150,0.5216
124,0.9839,0.2208,0.7419,0.7738,0.5123,0.5274
125,0.9839,0.2208,0.7419,0.7828,0.5166,0.5217
126,0.9839,0.2210,0.7419,0.7738,0.5112,0.5295
